Country Name,Country Code,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,18053222734.8881,18799444414.5998,19955929060.841,14266499429.8746,,
Africa Eastern and Southern,AFE,1012521425296.35,1006191000190.48,928880235176.594,1086530704900.5,1185137703650.99,
Africa Western and Central,AFW,768158194632.397,823405580187.913,786962436538.391,844927536437.833,875393693658.084,
Albania,ALB,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488,
Algeria,DZA,174910684781.571,171760275466.61,145743542982.628,163472387986.768,194998449769.085,
American Samoa,ASM,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,
Andorra,AND,3218418631.67579,3155150255.91195,2891002460.29153,3325143693.28714,3352031094.22914,
Angola,AGO,79450688232.0011,70897962712.6213,48501561230.001,66505129989.243,106782770714.619,
Antigua and Barbuda,ATG,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,
Arab World,ARB,2845898419157.25,2871654771820.86,2535508549316.27,2930480380710.72,3543339785308.86,
Argentina,ARG,524819892360.176,447754683615.225,385740508436.965,487902572164.348,631133384439.944,
Armenia,ARM,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429,
Aruba,ABW,3276184357.5419,3395798882.68156,2558906303.88098,3103184101.51354,3544707788.05664,
Australia,AUS,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7,
Austria,AUT,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741,
Azerbaijan,AZE,47112470051.7701,48174235294.1176,42693000000.0,54825411764.7059,78721058823.5294,
"Bahamas, The",BHS,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0,
Bahrain,BHR,37802005319.1489,38653318085.1064,34621807712.766,39288670212.766,44383297872.3404,
Bangladesh,BGD,321379127909.353,351238399005.451,373902197869.16,416264800549.026,460201265527.977,
Barbados,BRB,5110250000.0,5341100000.0,4738800000.0,4923100000.0,5699950000.0,
Belarus,BLR,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,72793457588.4367,
Belgium,BEL,543299066998.902,535865804349.803,526264230147.394,600748812601.541,583435595579.963,
Belize,BLZ,2292787335.62452,2386792476.10637,2047727810.06777,2424575179.3783,2830507575.6841,
Benin,BEN,14262408079.7014,14390708756.988,15686741893.5187,17687623534.6665,17396792699.5489,
Bermuda,BMU,7225977000.0,7423465000.0,6887147000.0,7127200000.0,7546000000.0,
Bhutan,BTN,2583335723.83252,2735683408.71698,2457604042.76364,2768003872.54065,,
Bolivia,BOL,40287647930.5355,40895322850.9407,36629843806.0781,40406111695.179,44008282877.9606,
Bosnia and Herzegovina,BIH,20484053868.9246,20482608755.379,20226036564.4129,23649568276.8447,24473906673.7086,
Botswana,BWA,17031943186.1353,16725908666.8462,14960291541.176,18737066311.1597,20355541962.8512,
Brazil,BRA,1916933898038.36,1873288205186.45,1476107231194.11,1649622821885.14,1920095779022.73,
British Virgin Islands,VGB,,,,,,
Brunei Darussalam,BRN,13566937673.7966,13469235364.7032,12005799653.9835,14006496617.4458,16681536466.7183,
Bulgaria,BGR,66370132238.3914,68881010245.5498,70368758395.141,84041493015.6618,90346169914.9349,
Burkina Faso,BFA,15890066221.2882,16032813501.6639,17725010530.7894,19642668879.7694,18820064797.8379,
Burundi,BDI,2667182199.51333,2576518879.82353,2649680261.43998,2775798697.47186,3338722827.66241,
Cabo Verde,CPV,2205099506.99994,2252177124.32402,1821565613.68613,1997866378.77119,2226862134.08787,
Cambodia,KHM,24571753583.3935,27089390032.798,25872797891.7664,26961061151.7337,29504829319.3169,
Cameroon,CMR,39973842087.2242,39670976452.5283,40773241177.0505,44993521774.066,43644068310.851,
Canada,CAN,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,
Caribbean small states,CSS,76540797383.5589,77253744414.7289,65860096129.8181,76123490342.5381,94867024971.9129,
Cayman Islands,CYM,5530178440.71376,5941896607.58643,5647224988.89996,6028373513.49405,6844827379.30952,
Central African Republic,CAF,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,
Central Europe and the Baltics,CEB,1648634467771.53,1674210532695.96,1665327992740.77,1908002281033.51,1944198197077.57,
Chad,TCD,11239167898.3395,11314951091.7283,10715396042.3343,11779981332.8631,12704149840.2283,
Channel Islands,CHI,10422948632.4216,10381669645.1366,9811538461.53846,11735662219.7772,,
