Country Name,Country Code,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,74.505,74.246,73.974,73.686,73.384,
Africa Eastern and Southern,AFE,64.1524022210526,63.6637406332391,63.17169763064,62.6763011608247,62.174841921506,
Africa Western and Central,AFW,53.3505741713724,52.7445867836195,52.142168975222,51.545193730082,50.9526154513686,
Albania,ALB,39.681,38.771,37.888,37.031,36.201,
Algeria,DZA,27.371,26.811,26.267,25.739,25.228,
American Samoa,ASM,12.847,12.853,12.847,12.831,12.804,
Andorra,AND,11.938,12.016,12.084,12.142,12.189,
Angola,AGO,34.486,33.823,33.175,32.54,31.919,
Antigua and Barbuda,ATG,75.401,75.494,75.567,75.62,75.654,
Arab World,ARB,41.3704238436104,41.1161830250364,40.9123809889593,40.7051135330233,40.4425293479745,
Argentina,ARG,8.13,8.009,7.889,7.771,7.65300000000001,
Armenia,ARM,36.851,36.781,36.687,36.569,36.427,
Aruba,ABW,56.589,56.454,56.303,56.134,55.948,
Australia,AUS,13.988,13.876,13.759,13.638,13.512,
Austria,AUT,41.703,41.485,41.252,41.005,40.744,
Azerbaijan,AZE,44.32,43.969,43.603,43.224,42.83,
"Bahamas, The",BHS,16.975,16.868,16.755,16.635,16.508,
Bahrain,BHR,10.713,10.606,10.494,10.378,10.257,
Bangladesh,BGD,63.368,62.595,61.823,61.054,60.289,
Barbados,BRB,68.853,68.842,68.809,68.754,68.676,
Belarus,BLR,21.405,20.956,20.517,20.09,19.674,
Belgium,BEL,1.999,1.959,1.92100000000001,1.883,1.84699999999999,
Belize,BLZ,54.276,54.134,53.975,53.799,53.604,
Benin,BEN,52.688,52.139,51.585,51.028,50.466,
Bermuda,BMU,0.0,0.0,0.0,0.0,0.0,
Bhutan,BTN,59.105,58.388,57.684,56.992,56.314,
Bolivia,BOL,30.575,30.227,29.877,29.525,29.17,
Bosnia and Herzegovina,BIH,51.755,51.374,50.98,50.575,50.159,
Botswana,BWA,30.554,29.828,29.123,28.44,27.776,
Brazil,BRA,13.431,13.176,12.927,12.683,12.445,
British Virgin Islands,VGB,52.277,51.884,51.485,51.08,50.669,
Brunei Darussalam,BRN,22.371,22.058,21.75,21.446,21.146,
Bulgaria,BGR,24.992,24.653,24.314,23.975,23.637,
Burkina Faso,BFA,70.642,70.02,69.393,68.76,68.123,
Burundi,BDI,86.968,86.634,86.292,85.942,85.583,
